date,price
2008-01-09,223.30
2008-01-10,215.12
2008-01-11,218.10
2008-01-14,220.10
2008-01-15,223.80
2008-01-16,215.89
2008-01-17,216.47
2008-01-18,214.70
2008-01-21,214.20
2008-01-22,206.42
2008-01-23,212.51
2008-01-24,216.70
2008-01-25,219.80
2008-01-28,220.33
2008-01-29,222.56
2008-01-30,220.10
2008-01-31,219.35
2008-02-01,218.75
2008-02-04,215.60
2008-02-05,215.26
2008-02-13,213.69
2008-02-14,216.10
2008-02-15,216.25
2008-02-18,215.48
2008-02-19,218.38
2008-02-20,219.81
2008-02-21,223.58
2008-02-22,222.45
2008-02-25,225.78
2008-02-26,219.43
2008-02-27,224.68
2008-02-28,223.50
2008-02-29,225.43
2008-03-03,228.45
2008-03-04,227.20
2008-03-05,224.75
2008-03-06,227.95
2008-03-07,227.58
2008-03-10,225.20
2008-03-11,224.60
2008-03-12,224.26
2008-03-13,226.48
2008-03-14,227.87
2008-03-17,232.36
2008-03-18,227.58
2008-03-19,226.20
2008-03-20,214.55
2008-03-21,210.11
2008-03-24,206.81
2008-03-25,210.19
2008-03-26,211.80
2008-03-27,213.30
2008-03-28,211.76
2008-03-31,208.98
2008-04-01,203.22
2008-04-02,199.13
2008-04-03,202.35
2008-04-07,205.36
2008-04-08,204.81
2008-04-09,203.35
2008-04-10,207.50
2008-04-11,204.56
2008-04-14,205.40
2008-04-15,208.62
2008-04-16,207.03
2008-04-17,210.66
2008-04-18,210.15
2008-04-21,204.50
2008-04-22,203.77
2008-04-23,204.50
2008-04-24,202.60
2008-04-25,199.55
2008-04-28,200.93
2008-04-29,199.70
2008-04-30,197.49
2008-05-05,195.06
2008-05-06,195.87
2008-05-07,195.16
2008-05-08,193.75
2008-05-09,197.32
2008-05-12,197.05
2008-05-13,196.14
2008-05-14,194.16
2008-05-15,194.48
2008-05-16,197.20
2008-05-19,202.21
2008-05-20,202.20
2008-05-21,203.86
2008-05-22,206.79
2008-05-23,203.71
2008-05-26,206.34
2008-05-27,205.80
2008-05-28,201.75
2008-05-29,198.70
2008-05-30,190.44
2008-06-02,196.00
2008-06-03,198.60
2008-06-04,195.20
2008-06-05,195.20
2008-06-06,195.50
2008-06-10,197.10
2008-06-11,197.10
2008-06-12,197.10
2008-06-13,197.10
2008-06-16,197.10
2008-06-17,195.65
2008-06-18,195.01
2008-06-19,197.00
2008-06-20,198.60
2008-06-23,199.48
2008-06-24,195.70
2008-06-25,195.30
2008-06-26,195.30
2008-06-27,200.29
2008-06-30,202.60
2008-07-01,203.70
2008-07-02,206.60
2008-07-03,206.60
2008-07-04,205.80
2008-07-07,204.60
2008-07-08,204.60
2008-07-09,204.60
2008-07-10,204.60
2008-07-11,204.60
2008-07-14,204.60
2008-07-15,212.80
2008-07-16,211.70
2008-07-17,211.30
2008-07-18,210.50
2008-07-21,212.00
2008-07-22,213.85
2008-07-23,207.50
2008-07-24,203.10
2008-07-25,204.00
2008-07-28,205.03
2008-07-29,203.75
2008-07-30,200.80
2008-07-31,201.00
2008-08-01,201.00
2008-08-04,201.00
2008-08-05,201.00
2008-08-06,201.00
2008-08-07,201.00
2008-08-08,201.00
2008-08-11,201.00
2008-08-12,201.00
2008-08-13,188.80
2008-08-14,188.80
2008-08-15,179.36
2008-08-18,177.00
2008-08-19,177.00
2008-08-20,181.50
2008-08-21,182.80
2008-08-22,182.80
2008-08-25,180.80
2008-08-26,180.80
2008-08-27,180.80
2008-08-28,175.00
2008-08-29,183.50
2008-09-01,183.50
2008-09-02,183.50
2008-09-03,183.50
2008-09-04,183.50
2008-09-05,183.50
2008-09-08,183.50
2008-09-09,183.50
2008-09-10,183.50
2008-09-11,183.50
2008-09-12,183.50
2008-09-16,183.50
2008-09-17,178.39
2008-09-18,186.46
2008-09-19,186.00
2008-09-22,180.50
2008-09-23,194.00
2008-09-24,191.00
2008-09-25,193.00
2008-09-26,191.00
2008-10-06,191.00
2008-10-07,191.00
2008-10-08,191.00
2008-10-09,191.00
2008-10-10,191.00
2008-10-13,191.00
2008-10-14,191.00
2008-10-15,191.00
2008-10-16,189.79
2008-10-17,189.79
2008-10-20,179.50
2008-10-21,179.50
2008-10-22,179.50
2008-10-23,176.04
2008-10-24,163.71
2008-10-27,163.71
2008-10-28,161.00
2008-10-29,165.17
2008-10-30,168.00
2008-10-31,160.00
2008-11-03,160.00
2008-11-04,160.00
2008-11-05,160.00
2008-11-06,160.00
2008-11-07,160.00
2008-11-10,160.00
2008-11-11,160.00
2008-11-12,160.00
2008-11-13,155.00
2008-11-14,155.00
2008-11-17,155.00
2008-11-18,165.00
2008-11-19,165.60
2008-11-20,165.70
2008-11-21,167.00
2008-11-24,174.59
2008-11-25,180.10
2008-11-26,180.20
2008-11-27,182.00
2008-11-28,184.00
2008-12-01,181.99
2008-12-02,181.99
2008-12-03,181.99
2008-12-04,174.90
2008-12-05,173.30
2008-12-08,173.30
2008-12-09,173.30
2008-12-10,173.30
2008-12-11,182.00
2008-12-12,180.85
2008-12-15,188.00
2008-12-16,182.80
2008-12-17,184.80
2008-12-18,187.01
2008-12-19,183.75
2008-12-22,183.82
2008-12-23,183.72
2008-12-24,184.31
2008-12-25,186.00
2008-12-26,186.00
2008-12-29,193.12
2008-12-30,188.10
2008-12-31,189.00
2009-01-05,189.00
2009-01-06,189.00
2009-01-07,189.00
2009-01-08,189.00
2009-01-09,189.00
2009-01-12,189.00
2009-01-13,189.00
2009-01-14,182.00
2009-01-15,182.00
2009-01-16,183.01
2009-01-19,186.50
2009-01-20,186.50
2009-01-21,190.80
2009-01-22,191.60
2009-01-23,192.30
2009-02-02,192.30
2009-02-03,192.30
2009-02-04,192.30
2009-02-05,192.30
2009-02-06,192.30
2009-02-09,192.30
2009-02-10,192.30
2009-02-11,192.30
2009-02-12,192.30
2009-02-13,192.30
2009-02-16,192.30
2009-02-17,201.21
2009-02-18,201.21
2009-02-19,201.21
2009-02-20,201.21
2009-02-23,201.21
2009-02-24,201.21
2009-02-25,211.27
2009-02-26,217.50
2009-02-27,210.00
2009-03-02,226.00
2009-03-03,226.00
2009-03-04,226.00
2009-03-05,226.00
2009-03-06,226.00
2009-03-09,226.00
2009-03-10,226.00
2009-03-11,226.00
2009-03-12,226.00
2009-03-13,226.00
2009-03-16,226.00
2009-03-17,204.39
2009-03-18,204.39
2009-03-19,204.39
2009-03-20,204.39
2009-03-23,204.39
2009-03-24,204.39
2009-03-25,204.39
2009-03-26,210.90
2009-03-27,210.90
2009-03-30,210.90
2009-03-31,210.90
2009-04-01,210.90
2009-04-02,210.90
2009-04-03,210.90
2009-04-07,210.90
2009-04-08,210.90
2009-04-09,210.90
2009-04-10,210.90
2009-04-13,210.90
2009-04-14,210.90
2009-04-15,210.90
2009-04-16,196.00
2009-04-17,196.00
2009-04-20,190.10
2009-04-21,190.10
2009-04-22,190.10
2009-04-23,195.24
2009-04-24,189.60
2009-04-27,199.08
2009-04-28,195.00
2009-04-29,197.40
2009-04-30,198.00
2009-05-04,198.00
2009-05-05,198.00
2009-05-06,198.00
2009-05-07,198.00
2009-05-08,198.00
2009-05-11,198.00
2009-05-12,198.00
2009-05-13,198.00
2009-05-14,198.00
2009-05-15,198.00
2009-05-18,204.12
2009-05-19,202.28
2009-05-20,203.25
2009-05-21,207.10
2009-05-22,208.20
2009-05-25,210.50
2009-05-26,210.00
2009-05-27,211.25
2009-06-01,216.62
2009-06-02,215.40
2009-06-03,217.80
2009-06-04,217.80
